epoch,timestamp,operations,operations-delta,operations/second
1629925752.2288132,26/08/2021 00:09:12,2995.7766666666666,2995.7766666666666,299.34203333333335
1629925762.2364302,26/08/2021 00:09:22,6005.026666666667,3009.25,300.6960433333333
1629925772.2425933,26/08/2021 00:09:32,9006.96,3001.9333333333334,300.00843333333336
1629925782.2487533,26/08/2021 00:09:42,12008.303333333333,3001.3433333333332,299.9495633333333
1629925792.2550366,26/08/2021 00:09:52,15007.616666666667,2999.3133333333335,299.74298999999996
1629925802.2614567,26/08/2021 00:10:02,18002.66,2995.0433333333335,299.31217333333336
1629925812.2687967,26/08/2021 00:10:12,21014.756666666668,3012.096666666667,300.98875
1629925822.2750032,26/08/2021 00:10:22,24011.59,2996.8333333333335,299.49743333333333
1629925832.2810967,26/08/2021 00:10:32,27016.783333333333,3005.193333333333,300.33628666666664
1629925842.2871866,26/08/2021 00:10:42,30012.183333333334,2995.4,299.35768666666667
1629925852.2932534,26/08/2021 00:10:52,33020.63333333333,3008.45,300.6626
1629925862.29933,26/08/2021 00:11:02,36023.42333333333,3002.79,300.09664333333336
1629925872.3044832,26/08/2021 00:11:12,39019.83,2996.4066666666668,299.4864033333333
1629925882.3012433,26/08/2021 00:11:22,42024.54666666667,3004.7166666666667,300.5685266666667
1629925892.2866433,26/08/2021 00:11:32,45020.19,2995.6433333333334,300.00231333333335
1629925902.259,26/08/2021 00:11:42,48009.073333333334,2988.883333333333,299.7177566666667
1629925912.2337365,26/08/2021 00:11:52,51000.89333333333,2991.82,299.93985
1629925922.2363832,26/08/2021 00:12:02,53999.80333333334,2998.91,299.81170999999995
1629925932.24615,26/08/2021 00:12:12,57008.03666666667,3008.233333333333,300.53001333333333
1629925942.25223,26/08/2021 00:12:22,60009.84,3001.8033333333333,299.9979333333333
1629925952.25908,26/08/2021 00:12:32,63011.89666666667,3002.056666666667,300.0001666666667
1629925962.2649,26/08/2021 00:12:42,66013.62333333334,3001.7266666666665,299.99806333333333
1629925972.27112,26/08/2021 00:12:52,69007.26666666666,2993.6433333333334,299.17822666666666
1629925982.27736,26/08/2021 00:13:02,72011.18666666666,3003.92,300.2047366666667
1629925992.28352,26/08/2021 00:13:12,75019.24,3008.0533333333333,300.62003666666664
1629926002.28874,26/08/2021 00:13:22,78020.78,3001.54,299.9974
1629926012.29283,26/08/2021 00:13:32,81022.03,3001.25,300.0023033333333
1629926022.2932665,26/08/2021 00:13:42,84022.18333333333,3000.153333333333,300.0022333333333
1629926032.2904031,26/08/2021 00:13:52,87021.29333333333,2999.11,299.99689333333333
1629926042.2845433,26/08/2021 00:14:02,90019.52333333333,2998.23,299.9988
1629926052.2754135,26/08/2021 00:14:12,93014.59333333334,2995.07,299.78100333333333
1629926062.2624333,26/08/2021 00:14:22,96011.62333333334,2997.03,300.09232333333335
1629926072.2514834,26/08/2021 00:14:32,99000.44666666667,2988.8233333333333,299.2074666666666
1629926082.2446532,26/08/2021 00:14:42,102003.13,3002.6833333333334,300.47847
1629926092.2456768,26/08/2021 00:14:52,105007.87333333334,3004.7433333333333,300.44336
1629926102.25175,26/08/2021 00:15:02,107998.38333333333,2990.51,298.8695266666666
1629926112.2579067,26/08/2021 00:15:12,111011.56333333334,3013.18,301.13268666666664
1629926122.2639902,26/08/2021 00:15:22,114013.38666666667,3001.8233333333333,299.9998333333333
1629926132.2701232,26/08/2021 00:15:32,117015.19333333333,3001.806666666667,299.99666666666667
1629926142.2754767,26/08/2021 00:15:42,120016.15666666666,3000.963333333333,299.93577999999997
1629926152.2809665,26/08/2021 00:15:52,123012.31666666667,2996.16,299.45164666666665
1629926162.2814333,26/08/2021 00:16:02,126018.59333333334,3006.2766666666666,300.61330000000004
1629926172.28407,26/08/2021 00:16:12,129019.10666666667,3000.5133333333333,299.97224666666665
1629926182.2869167,26/08/2021 00:16:22,132020.26,3001.153333333333,300.02994333333334
1629926192.2842267,26/08/2021 00:16:32,135019.46666666667,2999.2066666666665,300.00136
1629926202.2816567,26/08/2021 00:16:42,138016.25333333333,2996.786666666667,299.7558866666667
1629926212.27684,26/08/2021 00:16:52,141017.24,3000.9866666666667,300.2430166666667
1629926222.2712367,26/08/2021 00:17:02,144010.16333333333,2992.923333333333,299.4607433333333
1629926232.2656033,26/08/2021 00:17:12,147013.85666666666,3003.693333333333,300.53799
1629926242.2584233,26/08/2021 00:17:22,150004.53,2990.673333333333,299.28313333333335
1629926252.2518766,26/08/2021 00:17:32,153009.72333333333,3005.193333333333,300.71528
1629926262.25297,26/08/2021 00:17:42,156007.5,2997.7766666666666,299.74499000000003
1629926272.2564433,26/08/2021 00:17:52,159006.60666666666,2999.1066666666666,299.8092
1629926282.2622433,26/08/2021 00:18:02,162012.83,3006.2233333333334,300.44803666666667
1629926292.2678332,26/08/2021 00:18:12,165002.76333333334,2989.9333333333334,298.8263833333333
1629926302.2689934,26/08/2021 00:18:22,168006.98,3004.2166666666667,300.38665333333336
1629926312.2725031,26/08/2021 00:18:32,171014.41666666666,3007.4366666666665,300.63798
1629926322.2773533,26/08/2021 00:18:42,174017.41333333333,3002.9966666666664,300.1540733333333
1629926332.2810967,26/08/2021 00:18:52,177018.5,3001.0866666666666,299.9963666666667
1629926342.2811732,26/08/2021 00:19:02,180018.37333333332,2999.8733333333334,299.98503
